99-99-99,"TL 061CP, Микросхема, DIP8-300, STMicroelectronics",Россия,"Ярославская область, город Люберцы, ул. Косиора, 29",3,шт,"80,00",Микросхемы зарубежные 0…-9…
99-99-98,"TL 062CDT, Микросхема, SOIC8, STMicroelectronics",Россия,"Рязанская область, город Мытищи, пл. Будапештсткая, 69",16,шт,"50,00",Микросхемы зарубежные 0…-9…
99-99-97,"TL 062CN, Микросхема, DIP8-300, STMicroelectronics",Россия,"Новосибирская область, город Можайск, спуск Космонавтов, 37",15,шт,"44,00",Микросхемы зарубежные 0…-9…
99-99-96,"TL 064CN, Микросхема",Россия,"Ростовская область, город Сергиев Посад, пер. Ладыгина, 62",11,шт,"71,00",Микросхемы зарубежные 0…-9…
99-99-95,"TL 064IDT, Микросхема, SOIC14, STMicroelectronics",Россия,"Саратовская область, город Чехов, шоссе Ленина, 67",1,шт,"69,00",Микросхемы зарубежные 0…-9…
99-99-94,"TL 071CP, Микросхема, DIP8-300, TI",Россия,"Ярославская область, город Люберцы, ул. Косиора, 29",11,шт,"80,00",Микросхемы зарубежные 0…-9…
99-99-93,"TL 072CDT, Микросхема, SO8-150-1.27, STMicroelectronics",Россия,"Рязанская область, город Мытищи, пл. Будапештсткая, 69",1,шт,"45,00",Микросхемы зарубежные 0…-9…
99-99-92,"TL 072CP, Микросхема, DIP8-300, Texas Instruments",Россия,"Новосибирская область, город Можайск, спуск Космонавтов, 37",8,шт,"90,00",Микросхемы зарубежные 0…-9…
99-99-91,"TL 074CDT, Микросхема, SOIC14, STMicroelectronics",Россия,"Ростовская область, город Сергиев Посад, пер. Ладыгина, 62",12,шт,"45,00",Микросхемы зарубежные 0…-9…
99-99-90,"TL 074CN, Микросхема, DIP-14, Texas Instruments",Россия,"Саратовская область, город Чехов, шоссе Ленина, 67",17,шт,"89,00",Микросхемы зарубежные 0…-9…
99-99-89,"TL 081CD SMD, Микросхема, SO8-150-1.27, TI",Россия,"Ярославская область, город Люберцы, ул. Косиора, 29",6,шт,"45,00",Микросхемы зарубежные 0…-9…
99-99-88,"TL 081CP, Микросхема, DIP8-300, TI",Россия,"Рязанская область, город Мытищи, пл. Будапештсткая, 69",19,шт,"56,00",Микросхемы зарубежные 0…-9…
99-99-87,"TL 082CP, Микросхема, DIP-8, Texas Instruments",Россия,"Новосибирская область, город Можайск, спуск Космонавтов, 37",2,шт,"80,00",Микросхемы зарубежные 0…-9…
99-99-86,"TL 084CD, Микросхема, SO-14, ST Microelectronics",Россия,"Ростовская область, город Сергиев Посад, пер. Ладыгина, 62",4,шт,"60,00",Микросхемы зарубежные 0…-9…
99-99-85,"TL 084CN, Микросхема, DIP14, Texas Instruments",Россия,"Саратовская область, город Чехов, шоссе Ленина, 67",18,шт,"80,00",Микросхемы зарубежные 0…-9…
99-99-84,"SPX 1117M3-L-3-3TR, Микросхема, SOT223, EXAR, 0.8A 3.3V",Россия,"Ярославская область, город Люберцы, ул. Косиора, 29",0,шт,"119,00",Микросхемы зарубежные 0…-9…
99-99-81,"MC 1458DR, Микросхема",Россия,"Рязанская область, город Мытищи, пл. Будапештсткая, 69",4,шт,"89,00",Микросхемы зарубежные 0…-9…
99-99-80,"MC 146818AP, Микросхема",Россия,"Новосибирская область, город Можайск, спуск Космонавтов, 37",17,шт,"350,00",Микросхемы зарубежные 0…-9…
99-99-78,"MC 1488P, Микросхема",Россия,"Ростовская область, город Сергиев Посад, пер. Ладыгина, 62",18,шт,"119,00",Микросхемы зарубежные 0…-9…
99-99-77,"MC 1489AN, Микросхема",Россия,"Саратовская область, город Чехов, шоссе Ленина, 67",3,шт,"147,00",Микросхемы зарубежные 0…-9…
99-99-75,"14DN487, Микросхема",Россия,"Ярославская область, город Люберцы, ул. Косиора, 29",8,шт,"743,00",Микросхемы зарубежные 0…-9…
99-99-74,"159-99, Микросхема",Россия,"Рязанская область, город Мытищи, пл. Будапештсткая, 69",12,шт,"1 050,00",Микросхемы зарубежные 0…-9…
99-99-73,"KA 1L0380R, Микросхема",Россия,"Новосибирская область, город Можайск, спуск Космонавтов, 37",4,шт,"294,00",Микросхемы зарубежные 0…-9…
99-99-72,"KA 1M0380R, Микросхема",Россия,"Ростовская область, город Сергиев Посад, пер. Ладыгина, 62",17,шт,"314,00",Микросхемы зарубежные 0…-9…
99-99-71,"1M0680R, Микросхема",Россия,"Саратовская область, город Чехов, шоссе Ленина, 67",3,шт,"582,00",Микросхемы зарубежные 0…-9…
99-99-70,"KA 1M0880B, Микросхема, Fairchild",Россия,"Ярославская область, город Люберцы, ул. Косиора, 29",11,шт,"550,00",Микросхемы зарубежные 0…-9…
99-99-69,"LM 217T, Микросхема, TO220AB, ST",Россия,"Рязанская область, город Мытищи, пл. Будапештсткая, 69",1,шт,"110,00",Микросхемы зарубежные 0…-9…
99-99-68,"LM 224N, Микросхема, DIP14, TI",Россия,"Новосибирская область, город Можайск, спуск Космонавтов, 37",10,шт,"50,00",Микросхемы зарубежные 0…-9…
99-99-67,"X 24C01-10PI, Микросхема",Россия,"Ростовская область, город Сергиев Посад, пер. Ладыгина, 62",4,шт,"50,00",Микросхемы зарубежные 0…-9…
99-99-66,"AT 24C01A-10PC-2.7, Микросхема",Россия,"Саратовская область, город Чехов, шоссе Ленина, 67",4,шт,"54,00",Микросхемы зарубежные 0…-9…
99-99-65,"ST 24C01B1, Микросхема",Россия,"Ярославская область, город Люберцы, ул. Косиора, 29",6,шт,"138,00",Микросхемы зарубежные 0…-9…
99-99-64,"AT 24C02D-SSHM-B, Микросхема, SO-8, ATMEL",Россия,"Рязанская область, город Мытищи, пл. Будапештсткая, 69",9,шт,"44,00",Микросхемы зарубежные 0…-9…
99-99-57,"AT 24C08C-SSHM-T, Микросхема, SOIC-8, Atmel",Россия,"Новосибирская область, город Можайск, спуск Космонавтов, 37",9,шт,"38,00",Микросхемы зарубежные 0…-9…
99-99-54,"24C1024B-PU25, Микросхема, DIP8",Россия,"Ростовская область, город Сергиев Посад, пер. Ладыгина, 62",6,шт,"360,00",Микросхемы зарубежные 0…-9…
99-99-53,"AT 24C1024BW-SH25-B, Микросхема, SO8",Россия,"Саратовская область, город Чехов, шоссе Ленина, 67",19,шт,"255,00",Микросхемы зарубежные 0…-9…
99-99-51,"M 24C16-WBN6P, Микросхема, DIP8, STMicroelectronics",Россия,"Ярославская область, город Люберцы, ул. Косиора, 29",5,шт,"83,00",Микросхемы зарубежные 0…-9…
99-99-50,"M 24C64-WMN6TP, Микросхема, SOIC8, STMicroelectronics",Россия,"Рязанская область, город Мытищи, пл. Будапештсткая, 69",6,шт,"44,00",Микросхемы зарубежные 0…-9…
99-99-49,"AT 24C256-10PI-2.7, Микросхема, DIP-8",Россия,"Новосибирская область, город Можайск, спуск Космонавтов, 37",2,шт,"245,00",Микросхемы зарубежные 0…-9…
99-99-47,"CAT 24C256WI-GT3, Микросхема, SOIC-8, ON Semiconductor",Россия,"Ростовская область, город Сергиев Посад, пер. Ладыгина, 62",13,шт,"99,00",Микросхемы зарубежные 0…-9…
99-99-46,"AT 24C32A-10PU-2.7, Микросхема, DIP-8, Atmel",Россия,"Саратовская область, город Чехов, шоссе Ленина, 67",15,шт,"177,00",Микросхемы зарубежные 0…-9…
99-99-45,"AT 24C32-WBN6, Микросхема, DIP8, STMicroelectronics",Россия,"Ярославская область, город Люберцы, ул. Косиора, 29",7,шт,"138,00",Микросхемы зарубежные 0…-9…
99-99-42,"AT 24C64A-10PU-2.7, Микросхема, DIP-8, Atmel, DIP8",Россия,"Рязанская область, город Мытищи, пл. Будапештсткая, 69",10,шт,"255,00",Микросхемы зарубежные 0…-9…
99-99-40,"BR 24L16FJ-WE2, Микросхема, SO8-150-1.27, ROHM",Россия,"Новосибирская область, город Можайск, спуск Космонавтов, 37",7,шт,"216,00",Микросхемы зарубежные 0…-9…
99-99-39,"24LC01BT-ISN, Микросхема",Россия,"Ростовская область, город Сергиев Посад, пер. Ладыгина, 62",7,шт,"372,00",Микросхемы зарубежные 0…-9…
99-99-38,"24LC04BP, Микросхема, Microchip",Россия,"Саратовская область, город Чехов, шоссе Ленина, 67",12,шт,"75,00",Микросхемы зарубежные 0…-9…
99-99-36,"24LC08B-IP, Микросхема, PDIP8, Microchip",Россия,"Ярославская область, город Люберцы, ул. Косиора, 29",5,шт,"74,00",Микросхемы зарубежные 0…-9…
99-99-35,"24LC16B-IP, Микросхема",Россия,"Рязанская область, город Мытищи, пл. Будапештсткая, 69",4,шт,"50,00",Микросхемы зарубежные 0…-9…
99-99-34,"AT 24LC16B1, Микросхема, SOIC-8, Microchip",Россия,"Новосибирская область, город Можайск, спуск Космонавтов, 37",1,шт,"89,00",Микросхемы зарубежные 0…-9…
99-99-33,"24LC256-IP, Микросхема, PDIP8, Microchip",Россия,"Ростовская область, город Сергиев Посад, пер. Ладыгина, 62",7,шт,"192,00",Микросхемы зарубежные 0…-9…
